Image Name,Vehicle b_box,Car confidence,License Plate b_box,License Plate Text,b_box confidence,Text confidence
20240523_115901.jpg,"['2493.31', '1645.98', '4815.90', '3356.61']",0.76,"['3062.86', '2804.77', '3634.62', '3027.48']",PTE-900,0.66,0.99
20240523_115901.jpg,"['2493.31', '1645.98', '4815.90', '3356.61']",0.76,"['6250.48', '2856.30', '7115.16', '3163.55']",KCN-954,0.66,0.73
20240523_115901.jpg,"['2493.31', '1645.98', '4815.90', '3356.61']",0.76,"['666.63', '2458.83', '1112.24', '2676.46']",JRV-860,0.64,0.99
