frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
8,3.0,[1693.7709631928215 0.740656544541821 3319.4084493565747 1427.4808237950565],[2164.826904296875 1121.87353515625 2728.3017578125 1313.8223876953125],0.7274244427680969,PIH-611,0.5171410580488982
9,1.0,[224.2248978467295 105.37648717155463 1780.6912640544242 1110.4577111946157],[463.9670104980469 867.9864501953125 842.8928833007812 1019.1348876953125],0.7051868438720703,FIACU-805,0.45496284090420275
9,3.0,[1689.5677240887526 1.6129348674827497 3316.296422179368 1431.4905966456972],[2100.68359375 1125.921875 2727.90625 1316.453369140625],0.6877112984657288,PIH-611,0.3185155217056429
10,3.0,[1685.5721697039369 1.8191951186756796 3319.5918687272897 1436.4448867864935],[2127.911865234375 1125.78515625 2732.121826171875 1318.2421875],0.715663492679596,PIH-611,0.8952156327039474
13,3.0,[1672.6747560656395 -0.15362667180318113 3317.9000036480875 1442.5010745842596],[2123.060546875 1130.010498046875 2730.583251953125 1315.9361572265625],0.7119443416595459,PIH-611,0.6092979699157445
13,1.0,[195.10621714584875 99.61168561339457 1772.5791389027968 1109.5615166205175],[444.396240234375 869.9482421875 822.2537841796875 1019.790771484375],0.701255738735199,ACU-805,0.7406803953257939
14,3.0,[1669.3344335559907 -0.3977313414127366 3314.574619988104 1443.0450396987785],[2128.6904296875 1127.079833984375 2724.201416015625 1323.39892578125],0.7190181612968445,PIH-611,0.643502310683272
15,3.0,[1668.0046359384069 -0.6147377137838248 3311.3993657242436 1442.6861297701623],[2114.550537109375 1127.1221923828125 2721.31298828125 1314.0128173828125],0.7044774889945984,PIH-611,0.6830065088727852
16,1.0,[198.5790732830319 110.74592564690505 1771.2210292173345 1111.8430699160842],[451.0653076171875 871.3682250976562 827.7965698242188 1022.1222534179688],0.6963164806365967,GIACU-805,0.7419344001870648
17,3.0,[1666.2928176928358 1.6327437516945338 3301.794993066214 1445.1651628533427],[2104.474365234375 1120.7593994140625 2708.45654296875 1324.798095703125],0.7220325469970703,PIH-611,0.3252449905588574
