frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
23,1,189.87516924095985 121.62419508247706 1759.3884345900008 1121.6313195969205,431.8545227050781 878.1776733398438 805.03076171875 1030.95166015625,0.6864467859268188,EIACU-805,0.9312049354381623
24,1,191.19746650139984 122.5375620165716 1760.4506206393949 1123.3909790984371,432.4034729003906 879.4605102539062 801.2679443359375 1029.97265625,0.6893285512924194,EIACU-805,0.6142869750020767
25,1,189.89203750525985 124.45697436063057 1759.4690234812128 1126.1873947930699,428.0299072265625 880.2416381835938 803.59814453125 1031.2188720703125,0.6922028660774231,FIACU-805,0.391324191433844
26,1,186.80671318283134 126.07093154959239 1757.0996231274967 1127.875181539929,425.37432861328125 880.111328125 802.5994873046875 1031.9661865234375,0.6973448395729065,WIACU-805,0.7470772398120059
27,1,185.72570009492327 127.350416444857 1756.1411855922452 1129.1849826048863,425.4222106933594 881.6998901367188 802.9903564453125 1035.4142252604167,0,0,0
28,1,184.64468700701522 128.62990134012162 1755.1827480569937 1130.4947836698434,425.4700927734375 883.2884521484375 803.3812255859375 1038.8622639973958,0,0,0
29,1,183.56367391910715 129.90938623538625 1754.2243105217422 1131.8045847348008,425.5179748535156 884.8770141601562 803.7720947265625 1042.310302734375,0.6879507303237915,EIACU-805,0.749958454251978
30,1,182.65550819607654 130.57284938887423 1753.6952776592707 1132.7849796822047,424.17164611816406 890.3320922851562 803.5608520507812 1042.5711669921875,0,0,0
31,1,181.74734247304593 131.2363125423622 1753.1662447967992 1133.7653746296087,422.8253173828125 895.7871704101562 803.349609375 1042.83203125,0.6848289966583252,EIACU-805,0.3417025275767337
32,1,180.8593978735804 131.9163769612037 1752.7071973617294 1134.6854591253768,421.84808349609375 895.1521606445312 804.6004028320312 1044.3365478515625,0.6840812563896179,EIACU-805,0.4697987947770294
33,1,180.7709195286455 132.7069379102235 1753.0307501777015 1136.1358449268348,420.7184143066406 894.0938720703125 804.0799255371094 1043.8116455078125,0,0,0
34,1,180.68244118371058 133.4974988592433 1753.3543029936734 1137.5862307282928,419.5887451171875 893.0355834960938 803.5594482421875 1043.2867431640625,0.6903168559074402,EIACU-805,0.22952966143040282
35,1,180.81680874651653 133.63527836694104 1753.2932777688634 1137.7514622548163,420.81939697265625 893.6413879394531 802.5817565917969 1044.067626953125,0,0,0
36,1,180.95117630932248 133.77305787463877 1753.2322525440536 1137.9166937813397,422.050048828125 894.2471923828125 801.6040649414062 1044.8485107421875,0.6938844919204712,GIACU-805,0.8550102407945527
37,1,179.44948305450936 134.03884477854962 1751.022800454708 1137.6940526743838,420.25506591796875 895.7107543945312 798.0348815917969 1044.2977294921875,0,0,0
38,1,177.94778979969624 134.30463168246047 1748.8133483653626 1137.471411567428,418.4600830078125 897.17431640625 794.4656982421875 1043.7469482421875,0.6879812479019165,EIACU-805,0.8577772056326263
39,1,176.121929957131 134.92181264565858 1746.596781577261 1138.3115227827723,419.310791015625 901.5828247070312 794.1378173828125 1038.982177734375,0.6917000412940979,EIACU-805,0.6950681487108895
40,1,175.8228375868814 134.37304103776364 1747.002405625821 1138.0283139858088,418.2814636230469 899.7332763671875 792.38232421875 1038.67236328125,0.6883494257926941,ACU-805,0.9736387605432835
41,1,174.13275978326772 134.555040226163 1745.7725670205805 1138.5376108145315,415.82904052734375 900.5154418945312 793.7012939453125 1042.32763671875,0.6980279684066772,EIACU-805,0.6801012006150834
42,1,173.19543081997824 135.30026752457644 1745.5367865776698 1139.9956737821349,417.66119384765625 900.2742919921875 796.7166137695312 1046.0452880859375,0.706037700176239,EIACU-805,0.8942092460561147
43,1,173.35725667343513 135.86988564867465 1745.6669672610965 1141.4389433773501,418.39874267578125 901.2409057617188 799.27734375 1046.4779052734375,0.7034998536109924,WIACU-805,0.600603803427122
44,1,172.9365138994142 136.20683807928617 1745.3479679235927 1142.5933485570092,417.3285827636719 900.466064453125 797.9749145507812 1046.937255859375,0.7049777507781982,WIACU-805,0.5663384566718986
45,1,172.9022166909623 136.6595805436233 1745.1388175382904 1144.453157689788,413.9825134277344 899.8604736328125 798.9935302734375 1048.4754638671875,0.704788088798523,IIACU-805,0.6131422592440675
46,1,173.24280914528387 136.36376525408022 1747.3718443231996 1143.8934707539674,415.52025604248047 899.1794815063477 800.6096878051758 1048.3378601074219,0,0,0
47,1,173.58340159960545 136.06794996453715 1749.604871108109 1143.333783818147,417.05799865722656 898.4984893798828 802.2258453369141 1048.2002563476562,0,0,0
48,1,173.92399405392703 135.7721346749941 1751.8378978930184 1142.7740968823264,418.59574127197266 897.817497253418 803.8420028686523 1048.0626525878906,0,0,0
49,1,174.2645865082486 135.47631938545103 1754.0709246779277 1142.2144099465058,420.13348388671875 897.1365051269531 805.4581604003906 1047.925048828125,0,0,0
50,1,174.6051789625702 135.18050409590796 1756.303951462837 1141.654723010685,421.67122650146484 896.4555130004883 807.0743179321289 1047.7874450683594,0,0,0
51,1,174.94577141689177 134.88468880636492 1758.5369782477464 1141.0950360748645,423.20896911621094 895.7745208740234 808.6904754638672 1047.6498413085938,0,0,0
52,1,175.28636387121335 134.58887351682185 1760.7700050326557 1140.535349139044,424.74671173095703 895.0935287475586 810.3066329956055 1047.5122375488281,0,0,0
53,1,175.62695632553493 134.29305822727878 1763.003031817565 1139.9756622032235,426.2844543457031 894.4125366210938 811.9227905273438 1047.3746337890625,0.6820213198661804,EIACU-805,0.8213349259210933
54,1,176.2409311636015 133.02379919783837 1765.592965134694 1137.3939797892826,430.1144256591797 894.5224914550781 814.5879821777344 1044.8556518554688,0,0,0
55,1,176.85490600166804 131.75454016839797 1768.182898451823 1134.8122973753416,433.94439697265625 894.6324462890625 817.253173828125 1042.336669921875,0.694474458694458,WIACU-805,0.2790655486281898
56,1,183.84705023940444 129.7932955461403 1774.157359896261 1133.9533175707943,435.6535949707031 888.0894775390625 821.9880981445312 1042.2935791015625,0,0,0
57,1,190.83919447714084 127.83205092388266 1780.1318213406987 1133.094337766247,437.36279296875 881.5465087890625 826.7230224609375 1042.25048828125,0.7032451629638672,EIACU-805,0.43611664647648984
58,1,196.18099118747955 125.16116335069626 1784.9956724868237 1133.2304789591144,443.28277587890625 882.6763916015625 827.9077758789062 1034.8436279296875,0.7005759477615356,EIACU805,0.6960363605210909
59,1,200.56397535536485 122.76731749534775 1788.5554198718428 1133.5282550891518,450.9913330078125 877.8510131835938 833.1748046875 1030.2833251953125,0.7082250118255615,IIACU-805,0.6387421413723868
60,1,204.54782343169228 119.29306933148848 1792.6275103573132 1132.3387764356378,457.20831298828125 880.82080078125 839.013916015625 1028.5593872070312,0,0,0
61,1,208.5316715080197 115.81882116762921 1796.6996008427836 1131.1492977821238,463.42529296875 883.7905883789062 844.85302734375 1026.83544921875,0.6977001428604126,WIACU-805,0.23076224587298805
62,1,212.55778016047896 113.73058356246909 1801.3276813572222 1130.055295681827,469.9281005859375 880.138671875 850.5289306640625 1025.3772583007812,0,0,0
63,1,216.5838888129382 111.64234595730898 1805.9557618716608 1128.9612935815303,476.430908203125 876.4867553710938 856.204833984375 1023.9190673828125,0.7056171894073486,GIACU-805,0.9113491704989453
64,1,224.67263116981144 110.55972236188569 1812.6217906326315 1128.9328352537786,490.5215148925781 878.466796875 866.6903686523438 1022.6588745117188,0.6996546983718872,GIACU-805,0.4656263624392766
65,1,231.72484247683383 109.26197145547792 1819.9854849194821 1127.9405206635124,495.5416717529297 875.4467468261719 878.285888671875 1021.1743469238281,0,0,0
66,1,238.77705378385622 107.96422054907015 1827.349179206333 1126.9482060732464,500.56182861328125 872.4266967773438 889.8814086914062 1019.6898193359375,0.6856206655502319,EIACU-805,0.6150701359769051
67,1,245.89886700785064 107.67003056866656 1833.2161479339502 1126.123505080454,505.81292724609375 869.3322143554688 903.3116455078125 1021.3980102539062,0.6960505247116089,GIACU-805,0.7242005887157082
68,1,256.4520898789378 107.96387095305235 1841.6234879284427 1126.945533177762,518.373486328125 869.8257934570313 913.5138427734375 1023.0150390625,0,0,0
69,1,267.0053127500249 108.25771133743815 1850.0308279229353 1127.76756127507,530.9340454101563 870.3193725585937 923.7160400390625 1024.6320678710938,0,0,0
70,1,277.558535621112 108.55155172182394 1858.438167917428 1128.5895893723782,543.4946044921875 870.8129516601563 933.9182373046875 1026.2490966796875,0,0,0
71,1,288.11175849219916 108.84539210620974 1866.8455079119205 1129.4116174696862,556.0551635742188 871.3065307617187 944.1204345703125 1027.8661254882813,0,0,0
72,1,298.6649813632863 109.13923249059553 1875.252847906413 1130.2336455669943,568.61572265625 871.8001098632812 954.3226318359375 1029.483154296875,0.709292471408844,HIACU-805,0.7523404703938236
73,1,313.4732943076275 111.36120552846361 1884.9030554186 1133.5510244058005,582.7150268554688 876.5874938964844 974.6085205078125 1031.6375122070312,0,0,0
